"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RSM00027612","MOSCOW, RS","2020-11-25","0.8","10.0","1.2","2.2",
"RSM00027612","MOSCOW, RS","2020-11-26","4.1","10.0","0.3","1.5","-1.1"
"RSM00027612","MOSCOW, RS","2020-11-27","1.0","10.0","1.6","2.2","0.0"
"RSM00027612","MOSCOW, RS","2020-11-28","2.3",,"1.5","2.0","0.3"
"RSM00027612","MOSCOW, RS","2020-11-29","2.0",,"2.2","3.1","0.8"
"RSM00027612","MOSCOW, RS","2020-11-30","1.5",,"1.2",,
"RSM00027612","MOSCOW, RS","2020-12-01","2.5","20.0","-1.2",,
"RSM00027612","MOSCOW, RS","2020-12-02","0.0","30.0","-3.6",,
"RSM00027612","MOSCOW, RS","2020-12-03","0.0","20.0","-6.1","-4.5","-8.0"
"RSM00027612","MOSCOW, RS","2020-12-04","1.0","30.0","-4.2",,"-5.1"
"RSM00027612","MOSCOW, RS","2020-12-05","0.0","30.0","-4.9","-3.4","-6.7"
"RSM00027612","MOSCOW, RS","2020-12-06","0.0","30.0","-6.1","-2.8","-8.8"
"RSM00027612","MOSCOW, RS","2020-12-07","0.0","20.0","-7.3","-4.1","-9.3"
"RSM00027612","MOSCOW, RS","2020-12-08","0.0","20.0","-8.7","-4.9",
"RSM00027612","MOSCOW, RS","2020-12-09","0.0","20.0","-9.1","-4.0","-12.2"
"RSM00027612","MOSCOW, RS","2020-12-10","0.0","20.0","-8.5","-5.6","-12.6"
"RSM00027612","MOSCOW, RS","2020-12-11","0.0","20.0","-7.3","-4.4","-9.7"
"RSM00027612","MOSCOW, RS","2020-12-12","0.0","20.0","-9.0","-7.1","-11.1"
"RSM00027612","MOSCOW, RS","2020-12-13","2.5","30.0","-5.8",,"-9.4"
"RSM00027612","MOSCOW, RS","2020-12-14","0.0","51.0","-5.3",,
"RSM00027612","MOSCOW, RS","2020-12-15","5.3","99.0","-4.1","-3.3","-5.8"
"RSM00027612","MOSCOW, RS","2020-12-16","0.0","99.0","-2.9",,"-4.4"
"RSM00027612","MOSCOW, RS","2020-12-17","2.3","119.0","0.9","2.0","-1.6"
"RSM00027612","MOSCOW, RS","2020-12-18","0.0","79.0","-0.5",,
"RSM00027612","MOSCOW, RS","2020-12-19","1.8","89.0","-2.2",,
"RSM00027612","MOSCOW, RS","2020-12-20","0.5","99.0","-0.6",,"-2.7"
"RSM00027612","MOSCOW, RS","2020-12-21","0.0","79.0","1.3","1.9","0.5"
"RSM00027612","MOSCOW, RS","2020-12-22","0.0","61.0","-1.7",,
"RSM00027612","MOSCOW, RS","2020-12-23","0.0","61.0","-4.1",,
"RSM00027612","MOSCOW, RS","2020-12-24","1.5","71.0","-4.9",,"-7.5"
"RSM00027612","MOSCOW, RS","2020-12-25","8.9","99.0","-3.5",,
"RSM00027612","MOSCOW, RS","2020-12-26","2.0","140.0","-0.9","0.2","-4.3"
"RSM00027612","MOSCOW, RS","2020-12-27","1.0","140.0","-5.6",,
"RSM00027612","MOSCOW, RS","2020-12-28","0.0","140.0","-7.4","-5.6",
"RSM00027612","MOSCOW, RS","2020-12-29","0.0","130.0","-6.5","-4.5","-10.5"
"RSM00027612","MOSCOW, RS","2020-12-30","1.0","140.0","-3.5","-2.4","-5.2"
"RSM00027612","MOSCOW, RS","2020-12-31","0.5","140.0","-2.1","0.5","-4.5"
"RSM00027612","MOSCOW, RS","2021-01-01","5.1","109.0","-0.3","0.6","-1.5"
"RSM00027612","MOSCOW, RS","2021-01-02","6.1","119.0","-0.1","0.8","-0.8"
"RSM00027612","MOSCOW, RS","2021-01-03","0.5","160.0","0.3","1.0","-0.6"
"RSM00027612","MOSCOW, RS","2021-01-04","2.0","150.0","-0.7",,
"RSM00027612","MOSCOW, RS","2021-01-05","0.3","180.0","-1.7","-0.6",
"RSM00027612","MOSCOW, RS","2021-01-06","0.8","170.0","-3.5","-2.9","-3.9"
"RSM00027612","MOSCOW, RS","2021-01-07","4.3","211.0","-4.9","-4.4","-5.5"
"RSM00027612","MOSCOW, RS","2021-01-08","0.5","211.0","-4.2","-2.7","-5.4"
"RSM00027612","MOSCOW, RS","2021-01-09","1.3","211.0","-6.0",,
"RSM00027612","MOSCOW, RS","2021-01-10","1.3","221.0","-8.2",,"-9.1"
"RSM00027612","MOSCOW, RS","2021-01-11","0.5","211.0","-8.4","-7.3","-9.5"
"RSM00027612","MOSCOW, RS","2021-01-12","0.8","211.0","-10.3","-9.0",
"RSM00027612","MOSCOW, RS","2021-01-13","0.3","239.0","-12.0","-10.2",
"RSM00027612","MOSCOW, RS","2021-01-14","10.9","340.0","-13.8",,
"RSM00027612","MOSCOW, RS","2021-01-15","0.0","340.0","-15.3","-13.3","-18.6"
"RSM00027612","MOSCOW, RS","2021-01-16","9.9","330.0","-16.1",,
"RSM00027612","MOSCOW, RS","2021-01-17","1.0","399.0","-19.7",,
"RSM00027612","MOSCOW, RS","2021-01-18","0.0","381.0","-17.1","-14.9","-23.6"
"RSM00027612","MOSCOW, RS","2021-01-19","0.3","361.0","-13.6",,"-17.5"
"RSM00027612","MOSCOW, RS","2021-01-20","0.8","351.0","-8.4","-5.5","-12.2"
"RSM00027612","MOSCOW, RS","2021-01-21","4.1","340.0","-10.7",,"-13.8"
"RSM00027612","MOSCOW, RS","2021-01-22","1.0","371.0","-4.1",,"-9.4"
"RSM00027612","MOSCOW, RS","2021-01-23","0.0","361.0","0.8","1.9","-1.4"
"RSM00027612","MOSCOW, RS","2021-01-24","0.0","330.0","1.2",,"0.2"
"RSM00027612","MOSCOW, RS","2021-01-25","0.5","279.0","2.1",,
"RSM00027612","MOSCOW, RS","2021-01-26","0.5","239.0","1.0","2.3","-0.4"
"RSM00027612","MOSCOW, RS","2021-01-27","0.0","221.0","1.7","2.1",
"RSM00027612","MOSCOW, RS","2021-01-28","5.3","221.0","0.2","0.9","-1.3"
"RSM00027612","MOSCOW, RS","2021-01-29","2.8","259.0","0.1","1.4",
"RSM00027612","MOSCOW, RS","2021-01-30","3.0","269.0","-2.6","-1.6","-3.2"
"RSM00027612","MOSCOW, RS","2021-01-31","4.1","300.0","-3.7","-3.0","-4.5"
"RSM00027612","MOSCOW, RS","2021-02-01","0.3","310.0","-2.8","-0.4",
"RSM00027612","MOSCOW, RS","2021-02-02","0.0","300.0","-7.7","-3.1","-11.5"
"RSM00027612","MOSCOW, RS","2021-02-03","1.0","290.0","-6.1",,"-9.5"
"RSM00027612","MOSCOW, RS","2021-02-04","4.1","310.0","-2.9","-0.2",
"RSM00027612","MOSCOW, RS","2021-02-05","3.3","330.0","-10.3",,"-11.9"
"RSM00027612","MOSCOW, RS","2021-02-06","0.0","320.0","-15.3",,
"RSM00027612","MOSCOW, RS","2021-02-07","0.5","310.0","-13.9","-11.3","-18.3"
"RSM00027612","MOSCOW, RS","2021-02-08","0.3","310.0","-14.4","-9.8","-19.3"
"RSM00027612","MOSCOW, RS","2021-02-09","2.0","300.0","-14.7","-12.1","-18.8"
"RSM00027612","MOSCOW, RS","2021-02-10",,"340.0","-13.5",,"-14.7"
"RSM00027612","MOSCOW, RS","2021-02-13",,,"-13.3","-12.6",
"RSM00027612","MOSCOW, RS","2021-02-14","1.8","589.0","-13.7","-11.5","-15.7"
"RSM00027612","MOSCOW, RS","2021-02-15","0.0","569.0","-16.3","-12.9","-18.6"
"RSM00027612","MOSCOW, RS","2021-02-16","1.0","551.0","-14.7","-11.2","-22.2"
"RSM00027612","MOSCOW, RS","2021-02-17","1.5","579.0","-11.3","-7.1",
"RSM00027612","MOSCOW, RS","2021-02-18","0.0","569.0","-15.8","-12.7","-19.2"
"RSM00027612","MOSCOW, RS","2021-02-19",,"551.0","-15.8",,"-18.4"
"RSM00027612","MOSCOW, RS","2021-02-22","1.0","559.0","-13.9",,
"RSM00027612","MOSCOW, RS","2021-02-23","0.0","559.0","-19.2","-15.9","-24.5"
"RSM00027612","MOSCOW, RS","2021-02-24","2.0","541.0","-14.3","-12.1","-16.9"
"RSM00027612","MOSCOW, RS","2021-02-25","7.1","569.0","-1.9","2.6","-12.7"
"RSM00027612","MOSCOW, RS","2021-02-26","1.5","541.0","4.3","6.4","2.1"
"RSM00027612","MOSCOW, RS","2021-02-27","1.0","450.0","0.3",,
"RSM00027612","MOSCOW, RS","2021-02-28","0.8","450.0","0.1","2.1","-1.0"
"RSM00027612","MOSCOW, RS","2021-03-01","0.0","439.0","1.1",,"-1.7"
"RSM00027612","MOSCOW, RS","2021-03-02","0.5","429.0","3.3","5.4",
"RSM00027612","MOSCOW, RS","2021-03-03","0.3","419.0","0.8","3.4","-2.4"
"RSM00027612","MOSCOW, RS","2021-03-04","1.5","409.0","0.9","2.5",
"RSM00027612","MOSCOW, RS","2021-03-05","1.0","391.0","-4.2","-1.1",
"RSM00027612","MOSCOW, RS","2021-03-06","0.0","399.0","-6.8","-3.8","-11.0"
"RSM00027612","MOSCOW, RS","2021-03-07","3.8","399.0","-4.9","-1.9","-7.9"
"RSM00027612","MOSCOW, RS","2021-03-08","3.6","480.0","-6.7","-4.9",
"RSM00027612","MOSCOW, RS","2021-03-09","0.0","480.0","-12.9","-10.3",
"RSM00027612","MOSCOW, RS","2021-03-10","0.0","470.0","-16.7","-12.3","-21.3"
"RSM00027612","MOSCOW, RS","2021-03-11","0.0","460.0","-12.2","-5.9","-20.7"
"RSM00027612","MOSCOW, RS","2021-03-12","0.0","450.0","-9.0","-4.7","-14.8"
"RSM00027612","MOSCOW, RS","2021-03-13","3.0","439.0","-3.8",,"-7.6"
"RSM00027612","MOSCOW, RS","2021-03-14","3.3","460.0","0.7","2.7","-2.2"
"RSM00027612","MOSCOW, RS","2021-03-15","4.1","429.0","2.6",,
"RSM00027612","MOSCOW, RS","2021-03-16","1.0","409.0","1.6","3.3","-0.4"
"RSM00027612","MOSCOW, RS","2021-03-17","0.0","381.0","0.3","2.6",
"RSM00027612","MOSCOW, RS","2021-03-18","0.3","381.0","0.6","2.5","-1.3"
"RSM00027612","MOSCOW, RS","2021-03-19","1.0","391.0","-0.5","2.2",
"RSM00027612","MOSCOW, RS","2021-03-20","0.0","361.0","-2.5","1.0","-6.1"
"RSM00027612","MOSCOW, RS","2021-03-21","1.5","361.0","-1.2","2.4","-5.0"
"RSM00027612","MOSCOW, RS","2021-03-22","1.5","361.0","0.6","3.1","-1.2"
"RSM00027612","MOSCOW, RS","2021-03-23","0.0","361.0","-1.6","1.1",
"RSM00027612","MOSCOW, RS","2021-03-24","0.0","351.0","-0.1","6.8","-8.2"
"RSM00027612","MOSCOW, RS","2021-03-25","0.0",,"4.6","11.6","-1.4"
"RSM00027612","MOSCOW, RS","2021-03-26","0.0","310.0","4.1","9.8","-2.1"
"RSM00027612","MOSCOW, RS","2021-03-27","0.0","279.0","4.8","9.7",
"RSM00027612","MOSCOW, RS","2021-03-28","0.0","249.0","4.3","12.0","-3.2"
"RSM00027612","MOSCOW, RS","2021-03-29","0.0","211.0","3.9","8.5","-3.4"
"RSM00027612","MOSCOW, RS","2021-03-30","1.0","191.0","3.9","8.0","0.2"
"RSM00027612","MOSCOW, RS","2021-03-31","7.4","170.0","4.7",,"1.9"
"RSM00027612","MOSCOW, RS","2021-04-01","4.1","109.0","5.4","8.8",
"RSM00027612","MOSCOW, RS","2021-04-21","12.2",,"3.7","6.4","0.4"
"RSM00027612","MOSCOW, RS","2021-04-22","0.0",,"10.1","15.9","5.3"
"RSM00027612","MOSCOW, RS","2021-05-13","0.0",,"13.8","19.8","8.5"
"RSM00027612","MOSCOW, RS","2021-05-28","1.0",,"18.1","23.5","14.9"
"RSM00027612","MOSCOW, RS","2021-06-07","0.8",,"17.4","23.5","14.2"
"RSM00027612","MOSCOW, RS","2021-06-08","2.0",,"16.7","24.4","13.5"
"RSM00027612","MOSCOW, RS","2021-06-10","7.9",,"14.5","16.5","13.7"
"RSM00027612","MOSCOW, RS","2021-06-11","18.0",,"15.2","17.8","12.8"
"RSM00027612","MOSCOW, RS","2021-06-29","0.5",,"18.9","21.5",
"RSM00027612","MOSCOW, RS","2021-08-03","19.1",,"19.6","24.3","17.4"
"RSM00027612","MOSCOW, RS","2021-08-04","0.5",,"18.7","24.1","13.8"
"RSM00027612","MOSCOW, RS","2021-08-05","3.0",,"17.4","24.0","12.2"
"RSM00027612","MOSCOW, RS","2021-08-06","6.4",,"18.9",,"14.3"
"RSM00027612","MOSCOW, RS","2021-08-07","5.1",,"21.0","26.0","17.5"
"RSM00027612","MOSCOW, RS","2021-08-08","0.8",,"20.6","24.6",
"RSM00027612","MOSCOW, RS","2021-08-09","0.0",,"22.9","29.5","16.5"
"RSM00027612","MOSCOW, RS","2021-08-10","0.8",,"22.5","28.9","19.4"
"RSM00027612","MOSCOW, RS","2021-08-11","13.0",,"20.2",,
"RSM00027612","MOSCOW, RS","2021-08-12","25.9",,"19.6","23.0",
"RSM00027612","MOSCOW, RS","2021-08-13","0.0",,"18.2","22.3","15.6"
"RSM00027612","MOSCOW, RS","2021-08-14","0.0",,"19.1","24.8","13.8"
"RSM00027612","MOSCOW, RS","2021-08-15","0.0",,"21.4","26.5","13.4"
"RSM00027612","MOSCOW, RS","2021-08-16","0.0",,"22.4","28.3","16.5"
"RSM00027612","MOSCOW, RS","2021-08-17","0.0",,"24.5","30.4","17.2"
"RSM00027612","MOSCOW, RS","2021-08-18","21.1",,"22.9","30.9","18.7"
"RSM00027612","MOSCOW, RS","2021-08-19","0.0",,"20.6","23.7",
"RSM00027612","MOSCOW, RS","2021-08-21",,,"19.2",,
"RSM00027612","MOSCOW, RS","2021-08-22","0.0",,"16.4","20.7",
"RSM00027612","MOSCOW, RS","2021-08-23","0.0",,"16.4","21.0","10.8"
"RSM00027612","MOSCOW, RS","2021-08-24","0.0",,"14.7","19.4","10.3"
"RSM00027612","MOSCOW, RS","2021-08-25","0.0",,"14.9","19.7","8.2"
"RSM00027612","MOSCOW, RS","2021-08-26","5.1",,"17.1","19.8","13.1"
"RSM00027612","MOSCOW, RS","2021-08-27","3.0",,"18.0","22.7","15.3"
"RSM00027612","MOSCOW, RS","2021-08-28","0.0",,"17.3","21.3","13.3"
"RSM00027612","MOSCOW, RS","2021-08-29","0.5",,"18.1","23.5","13.0"
"RSM00027612","MOSCOW, RS","2021-08-30","3.0",,"18.9","23.9","15.2"
"RSM00027612","MOSCOW, RS","2021-08-31","2.0",,"19.8","25.6","16.6"
"RSM00027612","MOSCOW, RS","2021-09-01","6.4",,"16.0","20.2",
"RSM00027612","MOSCOW, RS","2021-09-02","2.0",,"11.3","14.6",
"RSM00027612","MOSCOW, RS","2021-09-03","10.9",,"7.7","12.7","5.4"
"RSM00027612","MOSCOW, RS","2021-09-04","3.0",,"8.3","11.2",
"RSM00027612","MOSCOW, RS","2021-09-05","0.5",,"6.7","10.2","5.8"
"RSM00027612","MOSCOW, RS","2021-09-20","18.0",,"5.6","6.8","4.6"
"RSM00027612","MOSCOW, RS","2021-09-23","9.9",,"9.0","11.3","7.2"
